# Altitude  Density [obj/km^3] of obj. larger than     0.100 m                  
 4200.1400   0.1443008E-09  0.1244151E-09  0.1641865E-09
 4250.1400   0.1400346E-09  0.1214267E-09  0.1586424E-09
 4300.1400   0.1358743E-09  0.1181334E-09  0.1536152E-09
 4350.1400   0.1356872E-09  0.1189318E-09  0.1524427E-09
 4400.1400   0.1351279E-09  0.1190861E-09  0.1511698E-09
 4450.1400   0.1361517E-09  0.1213873E-09  0.1509161E-09
 4500.1400   0.1341387E-09  0.1200863E-09  0.1481910E-09
 4550.1400   0.1335210E-09  0.1199034E-09  0.1471386E-09
 4600.1400   0.1323125E-09  0.1192810E-09  0.1453439E-09
 4650.1400   0.1330191E-09  0.1210373E-09  0.1450009E-09
 4700.1400   0.1292355E-09  0.1171492E-09  0.1413218E-09
 4750.1400   0.1306523E-09  0.1191242E-09  0.1421805E-09
 4800.1400   0.1227359E-09  0.1116538E-09  0.1338180E-09
 4850.1400   0.1203653E-09  0.1093687E-09  0.1313619E-09
 4900.1400   0.1178203E-09  0.1068853E-09  0.1287552E-09
 4950.1400   0.1194463E-09  0.1093163E-09  0.1295763E-09
 5000.1400   0.1185634E-09  0.1084326E-09  0.1286942E-09
 5050.1400   0.1182332E-09  0.1085612E-09  0.1279051E-09
 5100.1400   0.1181725E-09  0.1087076E-09  0.1276373E-09
 5150.1400   0.1157021E-09  0.1067266E-09  0.1246775E-09
 5200.1400   0.1169008E-09  0.1083793E-09  0.1254222E-09
 5250.1400   0.1170658E-09  0.1089110E-09  0.1252205E-09
 5300.1400   0.1184262E-09  0.1099171E-09  0.1269353E-09
 5350.1400   0.1195982E-09  0.1119273E-09  0.1272690E-09
 5400.1400   0.1218125E-09  0.1144298E-09  0.1291952E-09
 5450.1400   0.1261413E-09  0.1189427E-09  0.1333399E-09
 5500.1400   0.1290410E-09  0.1217773E-09  0.1363046E-09
 5550.1400   0.1359949E-09  0.1287643E-09  0.1432254E-09
 5600.1400   0.1455329E-09  0.1385356E-09  0.1525303E-09
 5650.1400   0.1729679E-09  0.1661459E-09  0.1797899E-09
 5700.1400   0.1430713E-09  0.1361168E-09  0.1500258E-09
 5750.1400   0.1219340E-09  0.1154089E-09  0.1284592E-09
 5800.1400   0.8291557E-10  0.7680931E-10  0.8902182E-10
 5850.1400   0.8092387E-10  0.7482488E-10  0.8702287E-10
 5900.1400   0.7926901E-10  0.7336204E-10  0.8517599E-10
 5950.1400   0.7665692E-10  0.7080272E-10  0.8251111E-10
 6000.1400   0.7387597E-10  0.6799528E-10  0.7975667E-10
 6050.1400   0.7324921E-10  0.6755415E-10  0.7894427E-10
 6100.1400   0.7403332E-10  0.6853375E-10  0.7953289E-10
 6150.1400   0.7296726E-10  0.6770297E-10  0.7823156E-10
 6200.1400   0.7225263E-10  0.6713491E-10  0.7737035E-10
 6250.1400   0.7384330E-10  0.6887345E-10  0.7881315E-10
 6300.1400   0.7348552E-10  0.6850247E-10  0.7846856E-10
 6350.1400   0.7072434E-10  0.6584946E-10  0.7559922E-10
 6400.1400   0.7069025E-10  0.6596332E-10  0.7541718E-10
 6450.1400   0.6979824E-10  0.6533863E-10  0.7425785E-10
 6500.1400   0.7111085E-10  0.6657588E-10  0.7564582E-10
 6550.1400   0.7206318E-10  0.6750558E-10  0.7662078E-10
 6600.1400   0.7199612E-10  0.6770385E-10  0.7628840E-10
 6650.1400   0.7072828E-10  0.6648240E-10  0.7497415E-10
 6700.1400   0.6404711E-10  0.5977041E-10  0.6832382E-10
 6750.1400   0.6288240E-10  0.5879885E-10  0.6696594E-10
 6800.1400   0.6314141E-10  0.5895854E-10  0.6732429E-10
 6850.1400   0.6206446E-10  0.5785658E-10  0.6627234E-10
 6900.1400   0.6107497E-10  0.5686130E-10  0.6528864E-10
